point_id,latitude,longitude,layer_type,province,district
L1_Hanoi_0,20.8934,105.7191,CityCluster,TP.Hà Nội,Xã Quảng Bị
L1_Hanoi_1,20.8934,105.8092,CityCluster,TP.Hà Nội,Xã Tam Hưng
L1_Hanoi_2,20.8934,105.8992,CityCluster,Hưng Yên,Xã Mễ Sở
L1_Hanoi_3,20.8934,105.9893,CityCluster,Hưng Yên,Xã Việt Yên
L1_Hanoi_4,20.9835,105.7191,CityCluster,TP.Hà Nội,Xã An Khánh
L1_Hanoi_5,20.9835,105.8092,CityCluster,TP.Hà Nội,Phường Khương Đình
L1_Hanoi_6,20.9835,105.8992,CityCluster,TP.Hà Nội,Phường Lĩnh Nam
L1_Hung Yen_7,20.9835,105.9893,CityCluster,Hưng Yên,Xã Như Quỳnh
L1_Hanoi_8,21.0735,105.7191,CityCluster,TP.Hà Nội,Xã Ô Diên
L1_Hanoi_9,21.0735,105.8092,CityCluster,TP.Hà Nội,Phường Phú Thượng
L1_Hanoi_10,21.0735,105.8992,CityCluster,TP.Hà Nội,Phường Việt Hưng
L1_Hanoi_11,21.0735,105.9893,CityCluster,Bắc Ninh,Xã Đại Đồng
L1_Hanoi_12,21.1636,105.7191,CityCluster,TP.Hà Nội,Xã Mê Linh
L1_Hanoi_13,21.1636,105.8092,CityCluster,TP.Hà Nội,Xã Phúc Thịnh
L1_Hanoi_14,21.1636,105.8992,CityCluster,TP.Hà Nội,Xã Thư Lâm
L1_Tay Ninh_15,10.688,106.4946,CityCluster,Tây Ninh,Xã Bến Lức
L1_Ho Chi Minh_16,10.688,106.5847,CityCluster,TP.Hồ Chí Minh,Xã Tân Nhựt
L1_Ho Chi Minh_17,10.688,106.6747,CityCluster,TP.Hồ Chí Minh,Xã Bình Hưng
L1_Dong Nai_18,10.688,106.7648,CityCluster,Đồng Nai,Xã Đại Phước
L1_Ho Chi Minh_19,10.7781,106.4946,CityCluster,TP.Hồ Chí Minh,Xã Bình Lợi
L1_Ho Chi Minh_20,10.7781,106.5847,CityCluster,TP.Hồ Chí Minh,Xã Tân Vĩnh Lộc
L1_Ho Chi Minh_21,10.7781,106.6747,CityCluster,TP.Hồ Chí Minh,Phường Hòa Hưng
L1_Ho Chi Minh_22,10.7781,106.7648,CityCluster,TP.Hồ Chí Minh,Phường Cát Lái
