Địa phương,2026 Diện tích(Km2)(*),2026 Dân số trung bình (Nghìn người),2026 Mật độ dân số (Người/km2)
Cả Nước,331338.3,102461.6,309.3
Đồng bằng sông Hồng,21278.7,24280.9,1141.0
Hà Nội,3359.8,8813.8,2623.3
Vinh Phúc,1236,1238.8,1002.2
Bắc Ninh,822.7,1563.7,1900.6
Quảng Ninh,6208,1411.9,227.5
Hải Dương,1668.3,2000.0,1198.9
Hải Phòng,1526.4,2147.9,1407.2
Hưng Yên,930.2,1332.6,1432.6
Thái Bình,1584.6,1911.3,1206.2
Hà Nam,861.9,904.1,1048.9
Nam Định,1668.8,1915.1,1147.5
Ninh Bình,1411.9,1041.7,737.8
Trung du và miền núi phía Bắc,95177,13486.0,141.6
Hà Giang,7927.6,921.5,116.3
Cao Bằng,6700.4,564.7,84.2
Bắc Kạn,4853.3,332.9,68.6
Tuyên Quang,5868,829.3,141.3
Lào Cai,6364.3,800.9,125.9
Yên Bái,6892.7,873.9,126.8
Thái Nguyên,3522,1380.3,391.9
Lạng Sơn,8310.2,823.0,99.1
Bắc Giang,3895.9,1984.2,509.4
Phú Thọ,3534.6,1560.9,441.6
Điện Biên,9539.9,663.9,69.6
Lai Châu,9068.7,501.0,55.2
Sơn La,14108.9,1345.3,95.3
Hòa Bình,4590.8,904.4,196.9
Bắc Trung Bộ và Duyên hải miền Trung,95848.5,21191.7,221.1
Thanh Hóa,11114.7,3805.7,342.4
Nghệ An,16486.5,3510.6,212.9
Hà Tĩnh,5994.5,1344.5,224.2
Quảng Bình,7998.8,935.0,116.9
Quảng Trị,4701.2,666.5,141.7
Thừa Thiên Huế,4947.1,1191.6,240.8
Đà Nẵng,1284.7,1290.1,1004.2
Quảng Nam,10574.9,1560.9,147.6
Quảng Ngãi,5155.3,1273.8,247.1
Bình Định,6066.4,1535.2,253.1
Phú Yên,5026,895.0,178.0
Khánh Hòa,5200.1,1283.3,246.8
Ninh Thuận,3355.8,619.5,184.6
Bình Thuận,7942.6,1280.2,161.2
Tây Nguyên,54548.3,6309.8,115.7
Kon Tum,9677.3,608.4,62.9
Gia Lai,15510.1,1652.9,106.6
Đắk Lắk,13070.4,1967.7,150.5
Đắk Nông,6509.3,703.4,108.1
Lâm Đồng,9781.2,1377.5,140.8
Đông Nam Bộ,23551.4,19451.6,825.9
Bình Phước,6873.6,1074.0,156.2
Tây Ninh,4041.7,1216.1,300.9
Bình Dương,2694.6,2902.3,1077.1
Đồng Nai,5863.6,3402.5,580.3
Bà Rịa - Vũng Tàu,1982.6,1207.8,609.2
TP.Hồ Chí Minh,2095.4,9648.9,4604.8
Đồng bằng sông Cửu Long,40921.8,17741.5,433.5
Long An,4494.8,1775.6,395.0
Tiền Giang,2556.4,1815.9,710.3
Bến Tre,2379.7,1320.7,555.0
Trà Vinh,2390.8,1035.2,433.0
Vĩnh Long,1525.7,1048.7,687.4
Đồng Tháp,3382.3,1618.8,478.6
An Giang,3536.8,1933.7,546.8
Kiên Giang,6352.1,1786.2,281.2
Cần Thơ,1440.4,1285.7,892.6
Hậu Giang,1622.2,738.1,455.0
Sóc Trang,3298.2,1218.6,369.5
Bạc Liêu,2667.9,938.9,351.9
Cà Mau,5274.5,1225.4,232.3
