station_name,latitude,longitude,province,source,ward
"An Xuan, Thanh pho Tam Ky, Quang Nam, Vietnam",15.577400207519531,108.4740982055664,TP.Đà Nẵng,original,Xã Thăng Trường
"Ba Dinh, Hanoi, Hanoi, Vietnam",21.03862953186035,105.83805084228516,TP.Hà Nội,tomtom_geocoding,Phường Phú Thượng
"Ba Ria - Vung Tau, Vietnam",10.54170036315918,107.24250030517578,TP.Hồ Chí Minh,original,Xã Nghĩa Thành
"Bac Giang, Bac Giang, Vietnam",21.273399353027344,106.32230377197266,Bắc Ninh,original,Xã Cẩm Lý
"Bac Ninh Binh Dinh, Bac Ninh, Bac Ninh, Vietnam",20.42843246459961,106.1776351928711,Ninh Bình,tomtom_fix,Xã Nhân Hà
"Bac Ninh Chau Khe, Hanoi, Ha Noi, Vietnam",21.214853286743164,105.93156433105469,TP.Hà Nội,tomtom_geocoding,Xã Phù Lỗ
"Bac Ninh KCN Tien Son, Bac Ninh, Bac Ninh, Vietnam",21.132301330566406,105.99640655517578,TP.Hà Nội,tomtom_fix,Xã Thư Lâm
"Bac Ninh Kcn Qua, Bac Ninh, Bac Ninh, Vietnam",12.62073040008545,109.11697387695312,Khánh Hòa,tomtom_fix,Xã Hòa Trí
"Bac Ninh Monitoring Center Suoi Hoa Ward Bac Ninh City, Bac Ninh, Bac Ninh, Vietnam",21.189428329467773,106.07684326171875,TP.Hà Nội,tomtom_fix,Xã Thư Lâm
"Bac Ninh Peoples Committee Of Yen Phong, Bac Ninh, Bac Ninh, Vietnam",21.187593460083008,105.96450805664062,TP.Hà Nội,tomtom_fix,Xã Phù Lỗ
"Bac Ninh Phong Coc, Bac Giang, Bac Giang, Vietnam",21.273399353027344,106.32230377197266,Bắc Ninh,original,Xã Cẩm Lý
"Bac Ninh Phu Lang, Bac Giang, Bac Giang, Vietnam",21.273399353027344,106.32230377197266,Bắc Ninh,original,Xã Cẩm Lý
"Bac Ninh Phu Xa Van Mon, Bac Ninh, Bac Ninh, Vietnam",21.170520782470703,105.93175506591797,TP.Hà Nội,tomtom_fix,Xã Phù Lỗ
"Bac Ninh Thuan Thanh Inter Area, Bac Ninh, Bac Ninh, Vietnam",21.063514709472656,106.08988189697266,Bắc Ninh,tomtom_fix,Phường Phù Chẩn
"Bac Ninh Tieu Hoc Dai Bai, Bac Ninh, Bac Ninh, Vietnam",21.03772735595703,106.14680480957031,Bắc Ninh,aqicn_fuzzy,Phường Phù Chẩn
"Bac Ninh UBND xa Xuan Lam, Hanoi, Ha Noi, Vietnam",21.07156753540039,105.79717254638672,TP.Hà Nội,tomtom_geocoding,Phường Phú Thượng
"Bac Ninh Ubnd Aai Aang, Bac Ninh, Bac Ninh, Vietnam",21.367172241210938,106.26187133789062,Bắc Ninh,tomtom_fix,Xã Lạng Giang
"Bac Ninh Ubnd Que Vu, Bac Ninh, Bac Ninh, Vietnam",21.189218521118164,106.08056640625,Bắc Ninh,tomtom_fix,Xã Tam Giang
"Bac Ninh gan KCN Yen Phong, Hanoi, Ha Noi, Vietnam",21.12773895263672,105.88954162597656,TP.Hà Nội,aqicn_fuzzy,Xã Thư Lâm
"Bac Ninh, Bac Ninh, Vietnam",21.035398483276367,106.10257720947266,Bắc Ninh,aqicn_fuzzy,Phường Phù Chẩn
"Bac Ninhubnd Xa Cao DuC Gia Binh, Hai Duong, HaI Duong, Vietnam",21.087261199951172,106.27825164794922,Bắc Ninh,tomtom_fix,Phường Mão Điền
"Bach ang, Thanh pho Uong Bi, Quang Ninh, Vietnam",21.03499412536621,106.75786590576172,TP.Hải Phòng,tomtom_fix,Phường Thiên Hương
"Ban Dao Linh Dam, Hanoi, Ha Noi, Vietnam",20.971378326416016,105.82798767089844,TP.Hà Nội,tomtom_geocoding,Phường Khương Đình
"Binh Dinh, Vietnam",21.035398483276367,106.10257720947266,Bắc Ninh,aqicn_fuzzy,Phường Phù Chẩn
"Binh Duong, Vietnam",11.07101821899414,106.69368743896484,TP.Hồ Chí Minh,tomtom_fix,Phường Vĩnh Tân
"Bo Xuyen, Thanh pho Thai Binh, Thai Binh, Vietnam",20.453535079956055,106.34053039550781,Ninh Bình,tomtom_fix,Xã Nhân Hà
"Cam Pha, Quang Ninh Province, Vietnam",21.009483337402344,107.27304077148438,Quảng Ninh,tomtom_fix,Đặc khu Vân Đồn
"Cam Pha, Quang Ninh, Vietnam",21.009483337402344,107.27304077148438,Quảng Ninh,tomtom_fix,Đặc khu Vân Đồn
"Cam Trung, Cam Pha, Quang Ninh Province, Vietnam",21.011554718017578,107.29277801513672,Quảng Ninh,tomtom_fix,Đặc khu Vân Đồn
"Can Tho Ninh Kieu KTTV Tram cam bien, Can Tho, Can Tho, Vietnam",10.04520034790039,105.74690246582031,TP.Cần Thơ,original,Phường Long Tuyền
"Can Tho, Can Tho, Vietnam",10.04520034790039,105.74690246582031,TP.Cần Thơ,original,Phường Long Tuyền
"Can Tho, Vietnam",9.742391586303711,105.75899505615234,TP.Cần Thơ,tomtom_fix,Xã Đông Phước
"Cao BaNgtraM Khi Ttqt, Cao Bang, Cao BaNg, Vietnam",22.665700912475586,106.26799774169922,Cao Bằng,original,Phường Tân Giang
"Cao Bang Phuong De Tham, Cao Bang, Cao Bang, Vietnam",22.665700912475586,106.26799774169922,Cao Bằng,original,Phường Tân Giang
"Cao Bang, Cao BaNg, Vietnam",22.665700912475586,106.26799774169922,Cao Bằng,original,Phường Tân Giang
"Cham Mat, Dan Chu, Hoa Binh Province, Vietnam",20.65250015258789,105.33760070800781,Phú Thọ,original,Xã Mường Động
"Chuong My, Hanoi, Vietnam",20.92171859741211,105.70475006103516,TP.Hà Nội,tomtom_geocoding,Xã Quảng Bị
"Da Nang Western Hoa Thuan, Da Nang, Da Nang, Vietnam",16.049959182739258,108.21046447753906,TP.Đà Nẵng,tomtom_geocoding,Phường Hòa Cường
"Da Nang, Da Nang, Vietnam",15.62997055053711,107.96780395507812,TP.Đà Nẵng,tomtom_geocoding,Xã Quế Phước
"Dam Trau phuong Bach Dang, Hanoi, Ha Noi, Vietnam",21.015832901000977,105.86273193359375,TP.Hà Nội,tomtom_geocoding,Phường Lĩnh Nam
