province,ward,code,type,lat,lon,population,area_km2
Hà Nội,phường Kiến Hưng,09552,phường,20.9549,105.78,70833,6.65
Hà Nội,phường Yên Nghĩa,09562,phường,20.9391,105.736,49643,13.18
Hà Nội,phường Xuân Đỉnh,00611,phường,21.0645,105.795,48658,5.46
Hà Nội,phường Long Biên,00145,phường,21.0197,105.896,62887,19.04
Hà Nội,phường Hoàng Mai,00331,phường,20.9746,105.862,98502,9.04
Hà Nội,phường Ba Đình,00004,phường,21.0386,105.838,65023,2.97
Hà Nội,phường Việt Hưng,00127,phường,21.0648,105.904,117410,12.91
Hà Nội,phường Ngọc Hà,00008,phường,21.0381,105.816,93536,2.68
Hà Nội,phường Dương Nội,09886,phường,20.9750,105.749,56091,7.90
Hà Nội,phường Nghĩa Đô,00160,phường,21.0451,105.794,125568,4.34
Hà Nội,phường Xuân Phương,00622,phường,21.0296,105.745,104947,10.81
Hà Nội,phường Yên Sở,00340,phường,20.9567,105.857,40948,5.62
Hà Nội,phường Định Công,00316,phường,20.9769,105.825,85502,5.34
Hà Nội,phường Yên Hòa,00175,phường,21.0139,105.796,77029,4.10
Hà Nội,phường Bồ Đề,00118,phường,21.0514,105.87,120028,12.94
Hà Nội,phường Thanh Xuân,00367,phường,20.9995,105.805,106316,3.24
Hà Nội,phường Ô Chợ Dừa,00190,phường,21.0243,105.826,71293,1.83
Hà Nội,phường Bạch Mai,00292,phường,21.0022,105.852,129571,2.95
Hà Nội,phường Hồng Hà,00097,phường,21.0567,105.845,123282,15.09
Hà Nội,phường Phương Liệt,00352,phường,20.9926,105.832,81977,3.20
Hà Nội,phường Cửa Nam,00082,phường,21.0226,105.851,52751,1.68
Hà Nội,phường Cầu Giấy,00166,phường,21.0309,105.788,74516,3.74
Hà Nội,phường Láng,00199,phường,21.0211,105.806,61135,1.88
Hà Nội,phường Đại Mỗ,00637,phường,20.9935,105.775,80462,8.10
Hà Nội,phường Hai Bà Trưng,00256,phường,21.0136,105.852,87801,2.65
Hà Nội,phường Kim Liên,00229,phường,21.0057,105.832,109107,2.46
Hà Nội,phường Lĩnh Nam,00328,phường,20.9656,105.89,20706,10.86
Hà Nội,phường Phú Diễn,00619,phường,21.0489,105.766,74603,6.29
Hà Nội,phường Phú Lương,09568,phường,20.9392,105.767,52024,9.40
Hà Nội,phường Vĩnh Tuy,00283,phường,20.9980,105.867,90583,2.33
Hà Nội,xã Đoài Phương,09616,xã,21.0682,105.486,39828,57.10
Hà Nội,phường Giảng Võ,00025,phường,21.0275,105.814,97034,2.60
Hà Nội,phường Đông Ngạc,00602,phường,21.0750,105.776,83544,8.85
Hà Nội,phường Phúc Lợi,00136,phường,21.0422,105.919,66790,10.41
Hà Nội,phường Từ Liêm,00592,phường,21.0204,105.771,119997,10.18
Hà Nội,phường Tây Tựu,00613,phường,21.0642,105.739,39436,7.54
Hà Nội,phường Tây Mỗ,00634,phường,21.0009,105.747,46894,5.56
Hà Nội,phường Hoàn Kiếm,00070,phường,21.0320,105.85,105301,1.91
Hà Nội,phường Tương Mai,00322,phường,20.9893,105.854,136292,3.56
Hà Nội,phường Khương Đình,00364,phường,20.9910,105.815,86286,3.10
Hà Nội,phường Tây Hồ,00103,phường,21.0580,105.82,100122,10.72
Hà Nội,phường Hoàng Liệt,00337,phường,20.9615,105.832,55820,4.04
Hà Nội,phường Thượng Cát,00598,phường,21.0866,105.75,24692,14.77
Hà Nội,phường Hà Đông,09556,phường,20.9734,105.778,185205,9.00
Hà Nội,phường Văn Miếu - Quốc Tử Giám,00226,phường,21.0199,105.837,105604,1.92
Hà Nội,phường Sơn Tây,09574,phường,21.1441,105.49,71301,23.08
