province,ward,code,type,lat,lon,population,area_km2,nearest_highway_type,distance_to_road_km,snapped_lat,snapped_lon
Hà Nội,phường Kiến Hưng,9552.0,phường,20.9549,105.78,70833.0,6.65,primary,0.2019,20.9532891,105.7791563
Hà Nội,phường Yên Nghĩa,9562.0,phường,20.9391,105.736,49643.0,13.18,residential,0.0463,20.9390008,105.736405
Hà Nội,phường Xuân Đỉnh,611.0,phường,21.0645,105.795,48658.0,5.46,residential,0.0747,21.0638471,105.7951621
Hà Nội,phường Long Biên,145.0,phường,21.0197,105.896,62887.0,19.04,residential,0.1541,21.0202113,105.8947092
Hà Nội,phường Hoàng Mai,331.0,phường,20.9746,105.862,98502.0,9.04,residential,0.147,20.9756255,105.8628375
Hà Nội,phường Ba Đình,4.0,phường,21.0386,105.838,65023.0,2.97,tertiary,0.0544,21.0387876,105.8375471
Hà Nội,phường Việt Hưng,127.0,phường,21.0648,105.904,117410.0,12.91,tertiary,0.0344,21.0647043,105.903705
Hà Nội,phường Ngọc Hà,8.0,phường,21.0381,105.816,93536.0,2.68,primary,0.0663,21.0384371,105.8155069
Hà Nội,phường Dương Nội,9886.0,phường,20.975,105.749,56091.0,7.9,residential,0.0347,20.9747366,105.748832
Hà Nội,phường Nghĩa Đô,160.0,phường,21.0451,105.794,125568.0,4.34,residential,0.0187,21.0449985,105.793866
Hà Nội,phường Xuân Phương,622.0,phường,21.0296,105.745,104947.0,10.81,residential,0.0349,21.0297394,105.7452817
Hà Nội,phường Yên Sở,340.0,phường,20.9567,105.857,40948.0,5.62,residential,0.2614,20.9586904,105.8582585
Hà Nội,phường Định Công,316.0,phường,20.9769,105.825,85502.0,5.34,secondary,0.0407,20.9770823,105.8253183
Hà Nội,phường Yên Hòa,175.0,phường,21.0139,105.796,77029.0,4.1,secondary,0.0268,21.0141416,105.7960009
Hà Nội,phường Bồ Đề,118.0,phường,21.0514,105.87,120028.0,12.94,residential,0.0092,21.0513471,105.8700637
Hà Nội,phường Thanh Xuân,367.0,phường,20.9995,105.805,106316.0,3.24,residential,0.0149,20.9995088,105.8048657
Hà Nội,phường Ô Chợ Dừa,190.0,phường,21.0243,105.826,71293.0,1.83,secondary,0.1044,21.0241688,105.8269312
Hà Nội,phường Bạch Mai,292.0,phường,21.0022,105.852,129571.0,2.95,residential,0.0194,21.002259,105.8518359
Hà Nội,phường Hồng Hà,97.0,phường,21.0567,105.845,123282.0,15.09,residential,0.0231,21.0565981,105.8448187
Hà Nội,phường Phương Liệt,352.0,phường,20.9926,105.832,81977.0,3.2,secondary,0.0297,20.9927622,105.8322127
Hà Nội,phường Cửa Nam,82.0,phường,21.0226,105.851,52751.0,1.68,secondary,0.04,21.0227307,105.8506639
Hà Nội,phường Cầu Giấy,166.0,phường,21.0309,105.788,74516.0,3.74,secondary,0.0375,21.0305666,105.7880541
Hà Nội,phường Láng,199.0,phường,21.0211,105.806,61135.0,1.88,secondary,0.0161,21.0209754,105.8059256
Hà Nội,phường Đại Mỗ,637.0,phường,20.9935,105.775,80462.0,8.1,tertiary,0.0295,20.9935432,105.7747381
Hà Nội,phường Hai Bà Trưng,256.0,phường,21.0136,105.852,87801.0,2.65,tertiary,0.0127,21.0136102,105.8518861
Hà Nội,phường Kim Liên,229.0,phường,21.0057,105.832,109107.0,2.46,tertiary,0.0273,21.0058451,105.8321987
Hà Nội,phường Lĩnh Nam,328.0,phường,20.9656,105.89,20706.0,10.86,residential,0.1014,20.9665065,105.8901105
Hà Nội,phường Phú Diễn,619.0,phường,21.0489,105.766,74603.0,6.29,residential,0.1469,21.0475917,105.7657979
Hà Nội,phường Phú Lương,9568.0,phường,20.9392,105.767,52024.0,9.4,residential,0.1067,20.9401608,105.7670364
Hà Nội,phường Vĩnh Tuy,283.0,phường,20.998,105.867,90583.0,2.33,trunk,0.0169,20.9979945,105.8668481
Hà Nội,xã Đoài Phương,9616.0,xã,21.0682,105.486,39828.0,57.1,residential,0.0381,21.0680819,105.4856774
Hà Nội,phường Giảng Võ,25.0,phường,21.0275,105.814,97034.0,2.6,residential,0.0156,21.0274583,105.8138661
